@relation WeatherForecast
@attribute WindSpeedKmph numeric
@attribute WindDirection360 {Variable,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180,190,200,210,220,230,240,250,260,270,280,290,300,310,320,330,340,350,360}
@attribute RelativeHumidityPercent numeric
@attribute AmosphericPressureMb numeric
@attribute DewPointCelcius numeric
@attribute TemperatureCelcius numeric
@data
19,300,55,1015,6,15
24,290,59,1013,8,16
6,270,77,1018,8,12
19,290,49,1019,7,18
15,300,34,1021,2,18
22,310,54,1021,2,11
33,220,18,1005,5,32
11,320,22,1019,8,32
17,290,25,1021,9,31
22,300,24,1021,8,31
9,Variable,19,1019,7,34
15,310,24,1019,7,30
15,250,22,1017,2,25
11,330,20,1017,-2,22
11,330,39,1017,2,16
13,260,87,1014,7,9
15,250,82,1014,7,10
9,120,88,1008,9,11
17,130,63,1005,8,15
17,320,49,1009,6,17
13,260,49,1011,6,17
15,Variable,55,1010,7,16
7,300,27,1012,1,21
19,310,22,1014,-3,19
17,330,35,1011,4,20
11,330,23,1009,-1,21
20,310,16,1006,-8,18
9,Variable,36,1014,0,15
7,270,63,1014,7,14
11,320,22,1015,0,23
19,310,22,1015,-1,22
11,80,28,1015,1,20
13,350,39,1019,0,14
15,Variable,27,1015,1,21
17,280,19,1021,-8,16
17,340,28,1019,-1,18
17,290,27,1013,-3,16
19,340,41,1017,1,14
20,360,55,1019,5,14
11,70,88,1018,9,11
26,70,63,1017,5,12
15,240,67,1007,5,11
13,70,39,1009,1,15
20,270,81,1007,4,7
19,280,81,1007,4,7
20,280,87,1009,5,7
7,80,34,1008,2,18
17,80,32,1012,1,18
9,290,55,1017,5,14
19,290,63,1012,6,13
2,Variable,39,1011,2,16
7,110,30,1014,-1,17
6,Variable,38,1016,-1,13
19,310,75,1018,-1,3
15,320,70,1018,-3,2
33,340,42,1018,-7,5
33,340,39,1018,-8,5
17,350,31,1022,-9,7
17,340,56,1023,-4,4
22,270,62,1013,4,11
17,300,18,1013,-5,20
4,Variable,33,1008,4,21
13,350,35,1017,3,19
26,230,58,1011,4,12
20,120,25,1009,0,21
19,80,33,1019,3,20
2,Variable,32,1016,1,18
15,240,58,1012,3,11
19,80,33,1018,3,20
15,Variable,30,1015,-1,17
7,Variable,43,1018,-2,10
24,320,66,1008,1,7
7,90,67,1010,4,10
37,220,36,1009,1,16
11,130,25,1018,-9,10
9,240,44,1013,0,12
20,320,75,1019,-1,3
17,280,76,1012,1,5
19,80,47,1009,1,12
17,120,37,1019,-4,10
